POI ID	City Name	POI Name (Chinese)	Image File Path
cd-boshe	成都	博舍酒店	H:\AI project\demo5\public\images\poi\成都\博舍酒店.jpg
cd-chunxi	成都	春熙路	H:\AI project\demo5\public\images\poi\成都\春熙路.jpg
cd-ifs	成都	IFS 国金中心	H:\AI project\demo5\public\images\poi\成都\IFS 国金中心.jpg
cd-kuixing	成都	奎星楼街	H:\AI project\demo5\public\images\poi\成都\奎星楼街.jpg
cd-hotel	成都	成都春熙路亚朵酒店	H:\AI project\demo5\public\images\poi\成都\成都春熙路亚朵酒店.jpg
cd-hotel2	成都	熊猫驿站国际青旅	H:\AI project\demo5\public\images\poi\成都\熊猫驿站国际青旅.jpg
cd-hotel3	成都	成都钓鱼台精品酒店	H:\AI project\demo5\public\images\poi\成都\成都钓鱼台精品酒店.jpg
cd-station	成都	成都东站	H:\AI project\demo5\public\images\poi\成都\成都东站.jpg
hz-xihu	杭州	西湖	H:\AI project\demo5\public\images\poi\杭州\西湖.jpg
hz-lingyin	杭州	灵隐寺	H:\AI project\demo5\public\images\poi\杭州\灵隐寺.jpg
hz-xixi	杭州	西溪湿地	H:\AI project\demo5\public\images\poi\杭州\西溪湿地.jpg
hz-longjing	杭州	龙井村	H:\AI project\demo5\public\images\poi\杭州\龙井村.jpg
hz-taiziwan	杭州	太子湾公园	H:\AI project\demo5\public\images\poi\杭州\太子湾公园.jpg
hz-hefang	杭州	河坊街	H:\AI project\demo5\public\images\poi\杭州\河坊街.jpg
hz-zhiweiguan	杭州	知味观	H:\AI project\demo5\public\images\poi\杭州\知味观.jpg
hz-minsu	杭州	西湖畔精品民宿	H:\AI project\demo5\public\images\poi\杭州\西湖畔精品民宿.jpg
hz-duanqiao	杭州	断桥残雪	H:\AI project\demo5\public\images\poi\杭州\断桥残雪.jpg
hz-hubin	杭州	湖滨银泰 in77	H:\AI project\demo5\public\images\poi\杭州\湖滨银泰 in77.jpg
hz-waipojia	杭州	外婆家（湖滨店）	H:\AI project\demo5\public\images\poi\杭州\外婆家（湖滨店）.jpg
hz-hotel	杭州	亚朵酒店·西湖店	H:\AI project\demo5\public\images\poi\杭州\亚朵酒店·西湖店.jpg
hz-hotel2	杭州	杭州西湖青年旅舍	H:\AI project\demo5\public\images\poi\杭州\杭州西湖青年旅舍.jpg
hz-hotel3	杭州	西子湖四季酒店	H:\AI project\demo5\public\images\poi\杭州\西子湖四季酒店.jpg
hz-station	杭州	杭州东站	H:\AI project\demo5\public\images\poi\杭州\杭州东站.jpg
xa-bmy	西安	秦始皇兵马俑	H:\AI project\demo5\public\images\poi\西安\秦始皇兵马俑.jpg
xa-wall	西安	西安城墙	H:\AI project\demo5\public\images\poi\西安\西安城墙.jpg
xa-sxhistory	西安	陕西历史博物馆	H:\AI project\demo5\public\images\poi\西安\陕西历史博物馆.jpg
xa-dayan	西安	大雁塔	H:\AI project\demo5\public\images\poi\西安\大雁塔.jpg
xa-datang	西安	大唐不夜城	H:\AI project\demo5\public\images\poi\西安\大唐不夜城.jpg
xa-beilin	西安	碑林博物馆	H:\AI project\demo5\public\images\poi\西安\碑林博物馆.jpg
xa-huimin	西安	回民街	H:\AI project\demo5\public\images\poi\西安\回民街.jpg
xa-yongxing	西安	永兴坊	H:\AI project\demo5\public\images\poi\西安\永兴坊.jpg
xa-zhonglou	西安	钟鼓楼	H:\AI project\demo5\public\images\poi\西安\钟鼓楼.jpg
xa-sajinqiao	西安	洒金桥	H:\AI project\demo5\public\images\poi\西安\洒金桥.jpg
xa-kaiyuan	西安	开元商城	H:\AI project\demo5\public\images\poi\西安\开元商城.jpg
xa-hotel	西安	钟楼饭店	H:\AI project\demo5\public\images\poi\西安\钟楼饭店.jpg
xa-hotel4	西安	西安唐华华邑酒店	H:\AI project\demo5\public\images\poi\西安\西安唐华华邑酒店.jpg
xa-hotel3	西安	西安书院门青年旅舍	H:\AI project\demo5\public\images\poi\西安\西安书院门青年旅舍.jpg
xa-hotel2	西安	锦江都城·钟楼店	H:\AI project\demo5\public\images\poi\西安\锦江都城·钟楼店.jpg
xa-station	西安	西安北站	H:\AI project\demo5\public\images\poi\西安\西安北站.jpg
dl-erhai	大理	洱海	H:\AI project\demo5\public\images\poi\大理\洱海.jpg
dl-gucheng	大理	大理古城	H:\AI project\demo5\public\images\poi\大理\大理古城.jpg
dl-cangshan	大理	苍山	H:\AI project\demo5\public\images\poi\大理\苍山.jpg
dl-xizhou	大理	喜洲古镇	H:\AI project\demo5\public\images\poi\大理\喜洲古镇.jpg
dl-caicun	大理	才村码头	H:\AI project\demo5\public\images\poi\大理\才村码头.jpg
dl-rukou	大理	烤乳扇小吃	H:\AI project\demo5\public\images\poi\大理\烤乳扇小吃.jpg
dl-hotel	大理	洱海边海景酒店	H:\AI project\demo5\public\images\poi\大理\洱海边海景酒店.jpg
dl-hotel4	大理	大理海景度假酒店	H:\AI project\demo5\public\images\poi\大理\大理海景度假酒店.jpg
dl-hotel3	大理	大理古城国际青旅	H:\AI project\demo5\public\images\poi\大理\大理古城国际青旅.jpg
dl-hotel2	大理	喜林苑·喜洲店	H:\AI project\demo5\public\images\poi\大理\喜林苑·喜洲店.jpg
dl-renmin	大理	人民路小店	H:\AI project\demo5\public\images\poi\大理\人民路小店.jpg
dl-chuangku	大理	床单厂艺术区	H:\AI project\demo5\public\images\poi\大理\床单厂艺术区.jpg
dl-station	大理	大理站	H:\AI project\demo5\public\images\poi\大理\大理站.jpg
cq-hongyadong	重庆	洪崖洞	H:\AI project\demo5\public\images\poi\重庆\洪崖洞.jpg
cq-suodao	重庆	长江索道	H:\AI project\demo5\public\images\poi\重庆\长江索道.jpg
cq-liziba	重庆	李子坝轻轨穿楼	H:\AI project\demo5\public\images\poi\重庆\李子坝轻轨穿楼.jpg
cq-nanshan	重庆	南山一棵树	H:\AI project\demo5\public\images\poi\重庆\南山一棵树.jpg
cq-ciqikou	重庆	磁器口古镇	H:\AI project\demo5\public\images\poi\重庆\磁器口古镇.jpg
cq-huoguo	重庆	老码头老火锅	H:\AI project\demo5\public\images\poi\重庆\老码头老火锅.jpg
cq-erchang	重庆	鹅岭二厂	H:\AI project\demo5\public\images\poi\重庆\鹅岭二厂.jpg
cq-jiefangbei	重庆	解放碑步行街	H:\AI project\demo5\public\images\poi\重庆\解放碑步行街.jpg
cq-bayi	重庆	八一好吃街	H:\AI project\demo5\public\images\poi\重庆\八一好吃街.jpg
cq-wfc	重庆	WFC 会仙楼观景台	H:\AI project\demo5\public\images\poi\重庆\WFC 会仙楼观景台.jpg
cq-hotel	重庆	解放碑威斯汀	H:\AI project\demo5\public\images\poi\重庆\解放碑威斯汀.jpg
cq-hotel4	重庆	重庆解放碑威斯汀酒店	H:\AI project\demo5\public\images\poi\重庆\重庆解放碑威斯汀酒店.jpg
cq-hotel3	重庆	重庆磁器口青年旅舍	H:\AI project\demo5\public\images\poi\重庆\重庆磁器口青年旅舍.jpg
cq-hotel2	重庆	亚朵酒店·解放碑店	H:\AI project\demo5\public\images\poi\重庆\亚朵酒店·解放碑店.jpg
cq-station	重庆	重庆北站	H:\AI project\demo5\public\images\poi\重庆\重庆北站.jpg
qd-zhanqiao	青岛	栈桥	H:\AI project\demo5\public\images\poi\青岛\栈桥.jpg
qd-badaguan	青岛	八大关	H:\AI project\demo5\public\images\poi\青岛\八大关.jpg
qd-laoshan	青岛	崂山风景区	H:\AI project\demo5\public\images\poi\青岛\崂山风景区.jpg
qd-xiaoyushan	青岛	小鱼山	H:\AI project\demo5\public\images\poi\青岛\小鱼山.jpg
qd-beer	青岛	青岛啤酒博物馆	H:\AI project\demo5\public\images\poi\青岛\青岛啤酒博物馆.jpg
qd-taidong	青岛	台东夜市	H:\AI project\demo5\public\images\poi\青岛\台东夜市.jpg
qd-pichaiyuan	青岛	劈柴院	H:\AI project\demo5\public\images\poi\青岛\劈柴院.jpg
qd-tianzhu	青岛	圣弥厄尔天主教堂	H:\AI project\demo5\public\images\poi\青岛\圣弥厄尔天主教堂.jpg
qd-xinhao	青岛	信号山公园	H:\AI project\demo5\public\images\poi\青岛\信号山公园.jpg
qd-daxuelu	青岛	大学路咖啡角	H:\AI project\demo5\public\images\poi\青岛\大学路咖啡角.jpg
qd-hotel	青岛	栈桥王子饭店	H:\AI project\demo5\public\images\poi\青岛\栈桥王子饭店.jpg
qd-hotel4	青岛	全季酒店·栈桥店	H:\AI project\demo5\public\images\poi\青岛\全季酒店·栈桥店.jpg
qd-hotel3	青岛	青岛八大关国际青旅	H:\AI project\demo5\public\images\poi\青岛\青岛八大关国际青旅.jpg
qd-hotel2	青岛	青岛海尔洲际酒店	H:\AI project\demo5\public\images\poi\青岛\青岛海尔洲际酒店.jpg
qd-station	青岛	青岛站	H:\AI project\demo5\public\images\poi\青岛\青岛站.jpg
tk-sensoji	东京	浅草寺	H:\AI project\demo5\public\images\poi\东京\浅草寺.jpg
tk-shibuya	东京	涩谷十字路口	H:\AI project\demo5\public\images\poi\东京\涩谷十字路口.jpg
tk-meiji	东京	明治神宫	H:\AI project\demo5\public\images\poi\东京\明治神宫.jpg
tk-tsukiji	东京	筑地场外市场	H:\AI project\demo5\public\images\poi\东京\筑地场外市场.jpg
tk-ginza	东京	银座	H:\AI project\demo5\public\images\poi\东京\银座.jpg
tk-station	东京	东京站	H:\AI project\demo5\public\images\poi\东京\东京站.jpg
tk-akihabara	东京	秋叶原	H:\AI project\demo5\public\images\poi\东京\秋叶原.jpg
tk-hotel	东京	新宿格拉斯丽酒店	H:\AI project\demo5\public\images\poi\东京\新宿格拉斯丽酒店.jpg
tk-hotel4	东京	全季东京日本桥店	H:\AI project\demo5\public\images\poi\东京\全季东京日本桥店.jpg
tk-hotel3	东京	Khaosan Tokyo Origami	H:\AI project\demo5\public\images\poi\东京\Khaosan Tokyo Origami.jpg
tk-hotel2	东京	东京柏悦酒店 Park Hyatt	H:\AI project\demo5\public\images\poi\东京\东京柏悦酒店 Park Hyatt.jpg
ky-kiyomizu	京都	清水寺	H:\AI project\demo5\public\images\poi\京都\清水寺.jpg
ky-fushimi	京都	伏见稻荷大社	H:\AI project\demo5\public\images\poi\京都\伏见稻荷大社.jpg
ky-kinkakuji	京都	金阁寺	H:\AI project\demo5\public\images\poi\京都\金阁寺.jpg
ky-gion	京都	祇园花见小路	H:\AI project\demo5\public\images\poi\京都\祇园花见小路.jpg
ky-nishiki	京都	锦市场	H:\AI project\demo5\public\images\poi\京都\锦市场.jpg
ky-hotel	京都	祇园町家民宿	H:\AI project\demo5\public\images\poi\京都\祇园町家民宿.jpg
ky-hotel2	京都	Piece Hostel Sanjo	H:\AI project\demo5\public\images\poi\京都\Piece Hostel Sanjo.jpg
ky-hotel3	京都	京都丽思卡尔顿	H:\AI project\demo5\public\images\poi\京都\京都丽思卡尔顿.jpg
ky-station	京都	京都站	H:\AI project\demo5\public\images\poi\京都\京都站.jpg
ky-yasaka	京都	八坂神社	H:\AI project\demo5\public\images\poi\京都\八坂神社.jpg
ky-ninenzaka	京都	二年坂・三年坂	H:\AI project\demo5\public\images\poi\京都\二年坂・三年坂.jpg
ky-machiya	京都	祇园町家民宿	H:\AI project\demo5\public\images\poi\京都\祇园町家民宿.jpg
bk-palace	曼谷	大皇宫	H:\AI project\demo5\public\images\poi\曼谷\大皇宫.jpg
bk-watrun	曼谷	郑王庙	H:\AI project\demo5\public\images\poi\曼谷\郑王庙.jpg
bk-khaosan	曼谷	考山路	H:\AI project\demo5\public\images\poi\曼谷\考山路.jpg
bk-asiatique	曼谷	河滨夜市	H:\AI project\demo5\public\images\poi\曼谷\河滨夜市.jpg
bk-iconsiam	曼谷	ICONSIAM	H:\AI project\demo5\public\images\poi\曼谷\ICONSIAM.jpg
bk-siam	曼谷	暹罗商圈	H:\AI project\demo5\public\images\poi\曼谷\暹罗商圈.jpg
bk-watpho	曼谷	卧佛寺	H:\AI project\demo5\public\images\poi\曼谷\卧佛寺.jpg
bk-hotel	曼谷	暹罗设计酒店	H:\AI project\demo5\public\images\poi\曼谷\暹罗设计酒店.jpg
bk-hotel4	曼谷	宜必思尚品·暹罗店	H:\AI project\demo5\public\images\poi\曼谷\宜必思尚品·暹罗店.jpg
bk-hotel3	曼谷	Mad Monkey Hostel Bangkok	H:\AI project\demo5\public\images\poi\曼谷\Mad Monkey Hostel Bangkok.jpg
bk-hotel2	曼谷	曼谷文华东方	H:\AI project\demo5\public\images\poi\曼谷\曼谷文华东方.jpg
cm-doisuthep	清迈	双龙寺	H:\AI project\demo5\public\images\poi\清迈\双龙寺.jpg
cm-chedi	清迈	契迪龙寺	H:\AI project\demo5\public\images\poi\清迈\契迪龙寺.jpg
cm-thapae	清迈	塔佩门	H:\AI project\demo5\public\images\poi\清迈\塔佩门.jpg
cm-sunday	清迈	周日夜市	H:\AI project\demo5\public\images\poi\清迈\周日夜市.jpg
cm-nimman	清迈	宁曼路	H:\AI project\demo5\public\images\poi\清迈\宁曼路.jpg
cm-airport	清迈	清迈国际机场	H:\AI project\demo5\public\images\poi\清迈\清迈国际机场.jpg
cm-hotel	清迈	古城泰式民宿	H:\AI project\demo5\public\images\poi\清迈\古城泰式民宿.jpg
cm-hotel4	清迈	清迈易思廷宁曼店	H:\AI project\demo5\public\images\poi\清迈\清迈易思廷宁曼店.jpg
cm-hotel3	清迈	Hostel by Bed	H:\AI project\demo5\public\images\poi\清迈\Hostel by Bed.jpg
cm-hotel2	清迈	清迈四季	H:\AI project\demo5\public\images\poi\清迈\清迈四季.jpg
kl-twins	吉隆坡	国家石油双子塔	H:\AI project\demo5\public\images\poi\吉隆坡\国家石油双子塔.jpg
kl-batucaves	吉隆坡	黑风洞	H:\AI project\demo5\public\images\poi\吉隆坡\黑风洞.jpg
kl-petaling	吉隆坡	茨厂街	H:\AI project\demo5\public\images\poi\吉隆坡\茨厂街.jpg
kl-bukit	吉隆坡	武吉免登	H:\AI project\demo5\public\images\poi\吉隆坡\武吉免登.jpg
kl-klcc	吉隆坡	KLCC 公园	H:\AI project\demo5\public\images\poi\吉隆坡\KLCC 公园.jpg
kl-sentral	吉隆坡	吉隆坡中央车站	H:\AI project\demo5\public\images\poi\吉隆坡\吉隆坡中央车站.jpg
kl-alor	吉隆坡	阿罗街	H:\AI project\demo5\public\images\poi\吉隆坡\阿罗街.jpg
kl-hotel	吉隆坡	茨厂街精品酒店	H:\AI project\demo5\public\images\poi\吉隆坡\茨厂街精品酒店.jpg
kl-hotel4	吉隆坡	吉隆坡希尔顿逸林	H:\AI project\demo5\public\images\poi\吉隆坡\吉隆坡希尔顿逸林.jpg
kl-hotel3	吉隆坡	Wanderlah Capsule Hotel	H:\AI project\demo5\public\images\poi\吉隆坡\Wanderlah Capsule Hotel.jpg
kl-hotel2	吉隆坡	吉隆坡文华东方	H:\AI project\demo5\public\images\poi\吉隆坡\吉隆坡文华东方.jpg
pg-mural	槟城	乔治市壁画街	H:\AI project\demo5\public\images\poi\槟城\乔治市壁画街.jpg
pg-clan	槟城	姓周桥	H:\AI project\demo5\public\images\poi\槟城\姓周桥.jpg
pg-hill	槟城	升旗山	H:\AI project\demo5\public\images\poi\槟城\升旗山.jpg
pg-chulia	槟城	汕头街美食	H:\AI project\demo5\public\images\poi\槟城\汕头街美食.jpg
pg-airport	槟城	槟城国际机场	H:\AI project\demo5\public\images\poi\槟城\槟城国际机场.jpg
pg-hotel	槟城	乔治市骑楼酒店	H:\AI project\demo5\public\images\poi\槟城\乔治市骑楼酒店.jpg
pg-hotel4	槟城	槟城硬石酒店	H:\AI project\demo5\public\images\poi\槟城\槟城硬石酒店.jpg
pg-hotel3	槟城	Penang Hostel Cafe	H:\AI project\demo5\public\images\poi\槟城\Penang Hostel Cafe.jpg
pg-hotel2	槟城	槟城香格里拉	H:\AI project\demo5\public\images\poi\槟城\槟城香格里拉.jpg
lk-skybridge	兰卡威	天空之桥	H:\AI project\demo5\public\images\poi\兰卡威\天空之桥.jpg
lk-cenang	兰卡威	珍南海滩	H:\AI project\demo5\public\images\poi\兰卡威\珍南海滩.jpg
lk-eagle	兰卡威	巨鹰广场	H:\AI project\demo5\public\images\poi\兰卡威\巨鹰广场.jpg
lk-aquaria	兰卡威	海底世界	H:\AI project\demo5\public\images\poi\兰卡威\海底世界.jpg
lk-kuahnight	兰卡威	瓜镇夜市	H:\AI project\demo5\public\images\poi\兰卡威\瓜镇夜市.jpg
lk-orkid	兰卡威	Orkid Ria 海鲜	H:\AI project\demo5\public\images\poi\兰卡威\Orkid Ria 海鲜.jpg
lk-airport	兰卡威	兰卡威国际机场	H:\AI project\demo5\public\images\poi\兰卡威\兰卡威国际机场.jpg
lk-hotel	兰卡威	珍南海景度假酒店	H:\AI project\demo5\public\images\poi\兰卡威\珍南海景度假酒店.jpg
lk-hotel4	兰卡威	兰卡威湾景酒店	H:\AI project\demo5\public\images\poi\兰卡威\兰卡威湾景酒店.jpg
lk-hotel3	兰卡威	Lantern House Langkawi	H:\AI project\demo5\public\images\poi\兰卡威\Lantern House Langkawi.jpg
lk-hotel2	兰卡威	兰卡威四季度假酒店	H:\AI project\demo5\public\images\poi\兰卡威\兰卡威四季度假酒店.jpg
ml-stadthuys	马六甲	荷兰红屋	H:\AI project\demo5\public\images\poi\马六甲\荷兰红屋.jpg
ml-stpaul	马六甲	圣保罗教堂	H:\AI project\demo5\public\images\poi\马六甲\圣保罗教堂.jpg
ml-jonker	马六甲	鸡场街夜市	H:\AI project\demo5\public\images\poi\马六甲\鸡场街夜市.jpg
ml-river	马六甲	马六甲河游船	H:\AI project\demo5\public\images\poi\马六甲\马六甲河游船.jpg
ml-mosque	马六甲	海峡清真寺	H:\AI project\demo5\public\images\poi\马六甲\海峡清真寺.jpg
ml-mahkota	马六甲	皇冠广场	H:\AI project\demo5\public\images\poi\马六甲\皇冠广场.jpg
ml-sentral	马六甲	马六甲中央车站	H:\AI project\demo5\public\images\poi\马六甲\马六甲中央车站.jpg
ml-hotel	马六甲	河畔精品酒店	H:\AI project\demo5\public\images\poi\马六甲\河畔精品酒店.jpg
ml-hotel2	马六甲	OYO Rooms Malacca	H:\AI project\demo5\public\images\poi\马六甲\OYO Rooms Malacca.jpg
ml-hotel3	马六甲	马六甲玛丽娜度假村	H:\AI project\demo5\public\images\poi\马六甲\马六甲玛丽娜度假村.jpg
ml-hotel4	马六甲	马六甲假日酒店	H:\AI project\demo5\public\images\poi\马六甲\马六甲假日酒店.jpg
klg-bkt	巴生	肉骨茶街	H:\AI project\demo5\public\images\poi\巴生\肉骨茶街.jpg
klg-mosque	巴生	苏丹苏莱曼清真寺	H:\AI project\demo5\public\images\poi\巴生\苏丹苏莱曼清真寺.jpg
klg-ketam	巴生	吉胆岛	H:\AI project\demo5\public\images\poi\巴生\吉胆岛.jpg
klg-india	巴生	小印度区	H:\AI project\demo5\public\images\poi\巴生\小印度区.jpg
klg-port	巴生	巴生港码头	H:\AI project\demo5\public\images\poi\巴生\巴生港码头.jpg
klg-hotel	巴生	巴生商务酒店	H:\AI project\demo5\public\images\poi\巴生\巴生商务酒店.jpg
klg-hotel4	巴生	巴生希尔顿欢朋	H:\AI project\demo5\public\images\poi\巴生\巴生希尔顿欢朋.jpg
klg-hotel3	巴生	Klang Sentral Hostel	H:\AI project\demo5\public\images\poi\巴生\Klang Sentral Hostel.jpg
klg-hotel2	巴生	巴生喜来登	H:\AI project\demo5\public\images\poi\巴生\巴生喜来登.jpg
seoul-gyeongbokgung	罗马	景福宫	H:\AI project\demo5\public\images\poi\罗马\景福宫.jpg
seoul-myeongdong	罗马	明洞	H:\AI project\demo5\public\images\poi\罗马\明洞.jpg
seoul-nseoul-tower	罗马	南山首尔塔	H:\AI project\demo5\public\images\poi\罗马\南山首尔塔.jpg
seoul-gangnam	罗马	江南区	H:\AI project\demo5\public\images\poi\罗马\江南区.jpg
seoul-bbq	罗马	韩式烤肉店	H:\AI project\demo5\public\images\poi\罗马\韩式烤肉店.jpg
seoul-hotel	罗马	首尔明洞乐天酒店	H:\AI project\demo5\public\images\poi\罗马\首尔明洞乐天酒店.jpg
seoul-station	罗马	首尔站	H:\AI project\demo5\public\images\poi\罗马\首尔站.jpg
sg-marina-bay	罗马	滨海湾金沙	H:\AI project\demo5\public\images\poi\罗马\滨海湾金沙.jpg
sg-merlion	罗马	鱼尾狮公园	H:\AI project\demo5\public\images\poi\罗马\鱼尾狮公园.jpg
sg-gardens	罗马	滨海湾花园	H:\AI project\demo5\public\images\poi\罗马\滨海湾花园.jpg
sg-lau-pa-sat	罗马	老巴刹美食广场	H:\AI project\demo5\public\images\poi\罗马\老巴刹美食广场.jpg
sg-hotel	罗马	滨海湾金沙酒店	H:\AI project\demo5\public\images\poi\罗马\滨海湾金沙酒店.jpg
sg-station	罗马	新加坡 MRT 中心站	H:\AI project\demo5\public\images\poi\罗马\新加坡 MRT 中心站.jpg
vn-hoan-kiem	罗马	还剑湖	H:\AI project\demo5\public\images\poi\罗马\还剑湖.jpg
vn-old-quarter	罗马	三十六行街	H:\AI project\demo5\public\images\poi\罗马\三十六行街.jpg
vn-pho	罗马	Pho 24 河粉店	H:\AI project\demo5\public\images\poi\罗马\Pho 24 河粉店.jpg
vn-hotel	罗马	河内老城酒店	H:\AI project\demo5\public\images\poi\罗马\河内老城酒店.jpg
in-gate	罗马	印度门	H:\AI project\demo5\public\images\poi\罗马\印度门.jpg
in-taj-hotel	罗马	泰姬陵酒店	H:\AI project\demo5\public\images\poi\罗马\泰姬陵酒店.jpg
in-curry	罗马	街头咖喱店	H:\AI project\demo5\public\images\poi\罗马\街头咖喱店.jpg
in-hotel	罗马	孟买希尔顿	H:\AI project\demo5\public\images\poi\罗马\孟买希尔顿.jpg
ae-burj	罗马	哈利法塔	H:\AI project\demo5\public\images\poi\罗马\哈利法塔.jpg
ae-mall	罗马	迪拜购物中心	H:\AI project\demo5\public\images\poi\罗马\迪拜购物中心.jpg
ae-desert	罗马	沙漠冲沙营地	H:\AI project\demo5\public\images\poi\罗马\沙漠冲沙营地.jpg
ae-hotel	罗马	亚特兰蒂斯棕榈酒店	H:\AI project\demo5\public\images\poi\罗马\亚特兰蒂斯棕榈酒店.jpg
tr-hagia	罗马	圣索菲亚大教堂	H:\AI project\demo5\public\images\poi\罗马\圣索菲亚大教堂.jpg
tr-blue	罗马	蓝色清真寺	H:\AI project\demo5\public\images\poi\罗马\蓝色清真寺.jpg
tr-grand-bazaar	罗马	大巴扎	H:\AI project\demo5\public\images\poi\罗马\大巴扎.jpg
tr-kebab	罗马	街头烤肉店	H:\AI project\demo5\public\images\poi\罗马\街头烤肉店.jpg
tr-hotel	罗马	苏丹艾哈迈德老城酒店	H:\AI project\demo5\public\images\poi\罗马\苏丹艾哈迈德老城酒店.jpg
id-tanah-lot	罗马	海神庙	H:\AI project\demo5\public\images\poi\罗马\海神庙.jpg
id-ubud	罗马	乌布皇宫	H:\AI project\demo5\public\images\poi\罗马\乌布皇宫.jpg
id-rice	罗马	德格拉朗梯田	H:\AI project\demo5\public\images\poi\罗马\德格拉朗梯田.jpg
id-hotel	罗马	乌布度假村	H:\AI project\demo5\public\images\poi\罗马\乌布度假村.jpg
ph-intramuros	罗马	西班牙王城	H:\AI project\demo5\public\images\poi\罗马\西班牙王城.jpg
ph-mall	罗马	亚洲购物中心	H:\AI project\demo5\public\images\poi\罗马\亚洲购物中心.jpg
ph-hotel	罗马	马尼拉云顶酒店	H:\AI project\demo5\public\images\poi\罗马\马尼拉云顶酒店.jpg
es-sagrada	罗马	圣家堂	H:\AI project\demo5\public\images\poi\罗马\圣家堂.jpg
es-rambla	罗马	兰布拉大街	H:\AI project\demo5\public\images\poi\罗马\兰布拉大街.jpg
es-tapas	罗马	Tapas 小馆	H:\AI project\demo5\public\images\poi\罗马\Tapas 小馆.jpg
